,DATE,COUNTRY,TRANSACTIONS,ARRIVALS,LHR_arrivals,non_LHR_arrivals,premium_economy_and_above_arrivals,business_and_above_arrivals,first_arrivals,transactions_non_target,transactions_target,transactions_bronze_and_above,transactions_gold_and_above,transactions_black_and_above,transactions_platinum_and_above,transactions_elite_and_above
30,2022-03-14,EU,2099,157214,40868,116346,5266,3167,290,416.0,1683.0,1223,929,660,197,37
31,2022-03-14,Greater China,3309,256,225,31,110,61,6,349.0,2960.0,2798,2197,1557,772,145
32,2022-03-14,Middle East - GCC,7906,13918,13243,675,5415,2799,363,865.0,7041.0,6110,4897,3396,1366,328
33,2022-03-14,North America,1923,45669,42812,2857,11755,6508,302,529.0,1394.0,869,557,362,115,53
34,2022-03-14,RO APAC,1642,17688,14718,2970,4933,2980,169,285.0,1357.0,1172,961,651,287,56
35,2022-03-21,EU,1751,151845,39460,112385,5279,3009,291,378.0,1373.0,951,711,476,149,18
36,2022-03-21,Greater China,3096,358,330,28,109,63,5,367.0,2729.0,2566,1912,1393,685,134
37,2022-03-21,Middle East - GCC,9864,10640,9806,834,3294,2236,283,1166.0,8698.0,7686,6258,4502,1625,535
38,2022-03-21,North America,1991,40350,37991,2359,10745,5922,316,605.0,1386.0,804,525,312,89,39
39,2022-03-21,RO APAC,1607,19576,16335,3241,5663,3312,147,225.0,1382.0,1187,933,656,248,28
40,2022-03-28,EU,2819,173296,42692,130604,5636,3049,325,903.0,1916.0,1457,1093,785,225,19
41,2022-03-28,Greater China,4228,375,359,16,145,68,3,531.0,3697.0,3425,2659,1910,867,205
42,2022-03-28,Middle East - GCC,10880,12612,11291,1321,3752,2098,258,1912.0,8968.0,7663,5951,4119,1601,430
43,2022-03-28,North America,3169,39169,37032,2137,10232,5962,285,1383.0,1786.0,1090,765,451,107,34
44,2022-03-28,RO APAC,2296,20630,15306,5324,5192,3224,160,433.0,1863.0,1538,1157,819,285,61
45,2022-04-04,EU,2252,225647,46838,178809,5229,2368,319,546.0,1706.0,1308,914,566,155,18
46,2022-04-04,Greater China,3091,554,515,39,238,91,5,374.0,2717.0,2490,1939,1398,676,161
47,2022-04-04,Middle East - GCC,5303,8410,7687,723,1563,992,101,670.0,4633.0,4033,3136,2195,884,271
48,2022-04-04,North America,2023,48862,46144,2718,11666,6502,318,633.0,1390.0,774,498,316,71,19
49,2022-04-04,RO APAC,1939,30444,19220,11224,5870,3597,188,327.0,1612.0,1383,995,748,303,40
50,2022-04-11,EU,2000,238210,59376,178834,7714,3301,414,442.0,1558.0,1101,851,599,156,26
51,2022-04-11,Greater China,3378,560,522,38,209,88,5,436.0,2942.0,2705,2072,1449,645,126
52,2022-04-11,Middle East - GCC,2247,7371,6834,537,1131,669,74,267.0,1980.0,1854,1500,1076,471,102
53,2022-04-11,North America,1727,54421,50991,3430,11456,5805,278,512.0,1215.0,717,522,325,61,11
54,2022-04-11,RO APAC,1961,37189,23924,13265,6898,4101,212,336.0,1625.0,1397,1055,803,366,57
55,2022-04-18,EU,1888,205079,57457,147622,7950,2877,311,494.0,1394.0,1053,743,550,163,8
56,2022-04-18,Greater China,3268,465,433,32,147,53,1,448.0,2820.0,2621,1976,1437,644,200
57,2022-04-18,Middle East - GCC,1716,5257,4889,368,1305,587,46,188.0,1528.0,1441,1168,778,336,135
58,2022-04-18,North America,1592,42728,39885,2843,9302,4542,221,499.0,1093.0,714,442,290,89,11
59,2022-04-18,RO APAC,2043,26425,16238,10187,6003,2928,146,436.0,1607.0,1307,886,598,256,31
60,2022-04-25,EU,2178,208569,53138,155431,8910,3564,414,460.0,1718.0,1235,953,640,216,48
61,2022-04-25,Greater China,3116,512,480,32,183,75,1,361.0,2755.0,2618,2050,1426,673,168
62,2022-04-25,Middle East - GCC,1863,6935,6524,411,2824,1247,79,231.0,1632.0,1553,1217,855,379,85
63,2022-04-25,North America,1814,45182,42440,2742,14181,8059,299,624.0,1190.0,701,454,320,86,5
64,2022-04-25,RO APAC,1650,25030,14598,10432,7537,3832,158,319.0,1331.0,1115,900,579,210,33
65,2022-05-02,EU,2172,212789,53255,159534,7587,3198,343,532.0,1640.0,1176,838,554,132,21
66,2022-05-02,Greater China,2920,592,550,42,209,88,2,391.0,2529.0,2440,1849,1284,583,123
67,2022-05-02,Middle East - GCC,3125,19190,17773,1417,7065,2602,319,401.0,2724.0,2359,1836,1307,509,96
68,2022-05-02,North America,1817,50841,46698,4143,13302,7281,299,500.0,1317.0,884,609,373,103,9
69,2022-05-02,RO APAC,1728,34076,21637,12439,7860,4468,271,329.0,1399.0,1183,954,654,237,36
70,2022-05-09,EU,3283,220900,53823,167077,7314,3433,406,1144.0,2139.0,1605,1188,807,230,44
71,2022-05-09,Greater China,4760,493,445,48,206,112,1,622.0,4138.0,3858,2948,2058,958,220
72,2022-05-09,Middle East - GCC,9343,14037,13193,844,4709,2610,332,2451.0,6892.0,5766,4266,2839,981,210
73,2022-05-09,North America,3369,61200,54699,6501,16248,8789,337,1728.0,1641.0,1072,734,409,80,14
74,2022-05-09,RO APAC,2710,35297,23520,11777,7543,4907,288,756.0,1954.0,1675,1266,954,362,73
75,2022-05-16,EU,2184,219161,52216,166945,7338,3505,420,500.0,1684.0,1266,960,629,167,33
76,2022-05-16,Greater China,3267,604,549,55,211,117,1,418.0,2849.0,2719,2144,1556,660,148
77,2022-05-16,Middle East - GCC,6395,10693,10069,624,2734,2016,267,927.0,5468.0,4746,3550,2422,904,257
78,2022-05-16,North America,2026,66075,60312,5763,18432,10279,401,797.0,1229.0,731,486,296,64,15
79,2022-05-16,RO APAC,2247,36788,24940,11848,7772,5108,310,471.0,1776.0,1569,1148,785,373,83
80,2022-05-23,EU,2297,214031,50262,163769,7460,3317,520,448.0,1849.0,1440,1087,788,222,27
81,2022-05-23,Greater China,3256,584,528,56,201,123,3,389.0,2867.0,2721,2130,1540,770,135
82,2022-05-23,Middle East - GCC,5311,10597,10018,579,2838,2020,274,686.0,4625.0,3983,3036,2150,981,318
83,2022-05-23,North America,2129,70346,64501,5845,19119,10508,403,726.0,1403.0,922,556,319,50,5
84,2022-05-23,RO APAC,2195,37879,25336,12543,7733,5229,315,461.0,1734.0,1507,1115,786,303,64
85,2022-05-30,EU,2585,214823,52507,162316,7733,3439,308,581.0,2004.0,1487,1065,788,247,40
86,2022-05-30,Greater China,3111,792,722,70,325,153,1,394.0,2717.0,2610,2058,1377,739,185
87,2022-05-30,Middle East - GCC,5369,10048,9342,706,2479,1704,174,834.0,4535.0,3888,3009,2201,864,277
88,2022-05-30,North America,2097,78664,72184,6480,17907,9100,331,732.0,1365.0,874,570,409,95,55
89,2022-05-30,RO APAC,2302,40041,27306,12735,7745,4988,325,426.0,1876.0,1659,1284,878,405,106
90,2022-06-06,EU,1995,212517,45052,167465,9084,3148,295,518.0,1477.0,1141,853,656,146,39
91,2022-06-06,Greater China,3344,1003,918,85,416,198,2,512.0,2832.0,2702,1977,1346,572,94
92,2022-06-06,Middle East - GCC,4615,9572,9071,501,3427,1966,232,643.0,3972.0,3543,2746,1996,741,202
93,2022-06-06,North America,2118,73492,67694,5798,20080,10987,397,720.0,1398.0,813,561,334,53,18
94,2022-06-06,RO APAC,2492,43369,28040,15329,10106,5871,306,531.0,1961.0,1811,1391,1033,417,109
95,2022-06-13,EU,2083,231261,53964,177297,10222,3906,476,462.0,1621.0,1246,909,617,176,25
96,2022-06-13,Greater China,3507,1029,945,84,398,203,12,536.0,2971.0,2856,2210,1502,737,188
97,2022-06-13,Middle East - GCC,4781,14368,13393,975,4773,2641,283,775.0,4006.0,3794,2963,2253,1003,304
98,2022-06-13,North America,2092,85747,79624,6123,24468,12999,454,641.0,1451.0,958,594,374,82,29
99,2022-06-13,RO APAC,2569,49779,34216,15563,12052,6929,407,568.0,2001.0,1859,1380,986,352,39
100,2022-06-20,EU,2159,231737,52356,179381,8760,3830,448,471.0,1688.0,1325,1043,732,268,33
101,2022-06-20,Greater China,4378,1482,1393,89,556,274,2,683.0,3695.0,3507,2688,1880,734,188
102,2022-06-20,Middle East - GCC,6095,18827,17740,1087,5628,2966,319,738.0,5357.0,4850,3815,2828,1100,347
103,2022-06-20,North America,2304,91314,84331,6983,24357,12921,467,859.0,1445.0,966,583,371,91,21
104,2022-06-20,RO APAC,3331,54380,38061,16319,12863,7029,456,618.0,2713.0,2409,1882,1375,509,64
105,2022-06-27,EU,2111,227873,51814,176059,10039,3958,379,465.0,1646.0,1261,945,648,197,49
106,2022-06-27,Greater China,3543,2090,1938,152,768,328,3,480.0,3063.0,2890,2177,1529,731,129
107,2022-06-27,Middle East - GCC,6816,20439,19427,1012,5899,3262,401,811.0,6005.0,5468,4367,3401,1395,417
108,2022-06-27,North America,2395,96729,89343,7386,26293,14281,464,819.0,1576.0,1136,710,382,73,20
109,2022-06-27,RO APAC,3229,59253,42960,16293,14608,7562,495,549.0,2680.0,2246,1693,1190,312,51
110,2022-07-04,EU,2550,243890,58776,185114,11953,4495,433,626.0,1924.0,1534,1119,842,219,55
111,2022-07-04,Greater China,4685,2519,2281,238,924,359,2,722.0,3963.0,3748,2793,1869,830,160
112,2022-07-04,Middle East - GCC,9138,30430,28343,2087,9936,4471,589,910.0,8228.0,7551,5987,4582,1862,465
113,2022-07-04,North America,3062,102883,94270,8613,25112,12766,408,938.0,2124.0,1528,1015,641,136,18
114,2022-07-04,RO APAC,4075,59259,42769,16490,14464,7458,541,615.0,3460.0,2944,2291,1575,526,192
115,2022-07-11,EU,2672,244261,57982,186279,11117,3884,421,936.0,1736.0,1222,887,632,191,36
116,2022-07-11,Greater China,5594,2046,1901,145,780,291,3,1072.0,4522.0,4174,3107,2171,996,195
117,2022-07-11,Middle East - GCC,13330,37795,34318,3477,11687,5090,649,2108.0,11222.0,10130,7832,5808,2133,620
118,2022-07-11,North America,4700,93676,86526,7150,23629,13228,449,2444.0,2256.0,1569,971,620,111,15
119,2022-07-11,RO APAC,4736,61112,43738,17374,13477,7019,402,1162.0,3574.0,2999,2191,1509,503,117
120,2022-07-18,EU,1812,241305,60009,181296,10561,3450,261,519.0,1293.0,908,672,453,135,24
121,2022-07-18,Greater China,3897,1956,1834,122,710,282,0,657.0,3240.0,3004,2276,1612,650,140
122,2022-07-18,Middle East - GCC,14168,29077,27064,2013,8045,4632,516,1765.0,12403.0,11078,8622,6123,2062,531
123,2022-07-18,North America,3131,85126,78744,6382,21031,11759,368,1207.0,1924.0,1180,735,502,135,41
124,2022-07-18,RO APAC,3611,59544,41749,17795,12832,6842,377,795.0,2816.0,2363,1703,1074,360,81
125,2022-07-25,EU,2538,235331,56105,179226,8306,2847,229,1061.0,1477.0,1165,918,645,227,45
126,2022-07-25,Greater China,5176,1629,1559,70,489,188,4,1071.0,4105.0,3824,2889,2061,931,234
127,2022-07-25,Middle East - GCC,16408,25327,23761,1566,5507,3304,388,2525.0,13883.0,12735,10276,7362,2401,620
128,2022-07-25,North America,4272,80066,73458,6608,17321,9604,358,2211.0,2061.0,1168,747,459,99,1
129,2022-07-25,RO APAC,3940,55619,37858,17761,10634,5564,293,1142.0,2798.0,2301,1709,1139,402,88
130,2022-08-01,EU,1617,231333,54590,176743,7711,2775,234,418.0,1199.0,904,642,484,165,41
131,2022-08-01,Greater China,3299,1322,1234,88,400,178,7,514.0,2785.0,2643,1988,1302,644,152
132,2022-08-01,Middle East - GCC,13936,27238,25160,2078,5915,3152,288,1931.0,12005.0,11150,8831,6268,2309,618
133,2022-08-01,North America,2660,78146,71459,6687,15155,8218,319,1038.0,1622.0,1000,609,361,74,3
134,2022-08-01,RO APAC,2290,53206,35612,17594,9997,4774,270,512.0,1778.0,1503,977,698,282,43
135,2022-08-08,EU,1508,232000,53396,178604,6606,2451,211,383.0,1125.0,894,618,456,123,32
136,2022-08-08,Greater China,3332,1205,1135,70,338,153,1,530.0,2802.0,2621,2022,1542,756,135
137,2022-08-08,Middle East - GCC,13617,22802,20722,2080,5144,2870,257,1692.0,11925.0,11057,8776,6242,2356,624
138,2022-08-08,North America,2539,71135,64878,6257,14072,7360,279,995.0,1544.0,994,542,340,51,1
139,2022-08-08,RO APAC,2112,50947,33501,17446,9152,4635,204,479.0,1633.0,1384,1025,727,307,60
140,2022-08-15,EU,1679,222568,50200,172368,6423,2530,243,510.0,1169.0,899,666,480,139,15
141,2022-08-15,Greater China,3135,1158,1107,51,365,158,0,512.0,2623.0,2611,1982,1420,633,89
142,2022-08-15,Middle East - GCC,14655,19624,17763,1861,5696,2329,207,1806.0,12849.0,11803,9356,6904,2340,650
143,2022-08-15,North America,2567,65556,59006,6550,13485,7189,275,983.0,1584.0,1029,563,355,86,6
144,2022-08-15,RO APAC,1750,47707,31015,16692,9965,4672,217,433.0,1317.0,1176,825,612,256,70
145,2022-08-22,EU,1452,215731,47855,167876,6644,2545,192,452.0,1000.0,782,555,399,108,39
146,2022-08-22,Greater China,2957,1224,1179,45,432,195,14,458.0,2499.0,2436,1906,1390,601,92
147,2022-08-22,Middle East - GCC,12991,14942,13570,1372,5384,2077,180,1779.0,11212.0,10334,8187,6077,2061,519
148,2022-08-22,North America,2390,63324,56928,6396,13052,6655,247,892.0,1498.0,1036,574,345,84,10
149,2022-08-22,RO APAC,1675,42059,27370,14689,10325,4594,267,453.0,1222.0,1139,914,650,214,40
150,2022-08-29,EU,1639,199371,42333,157038,6961,2499,276,434.0,1205.0,907,714,462,117,24
151,2022-08-29,Greater China,3338,1792,1740,52,667,278,-2,552.0,2786.0,2689,2100,1465,617,122
152,2022-08-29,Middle East - GCC,12079,11085,10150,935,4143,1742,171,1621.0,10458.0,9778,7571,5635,2094,424
153,2022-08-29,North America,2014,56944,51174,5770,13503,7118,290,698.0,1316.0,982,612,422,91,34
154,2022-08-29,RO APAC,1531,35756,22558,13198,10720,5051,283,353.0,1178.0,1028,762,598,267,108
155,2022-09-05,EU,1690,196607,40011,156596,9722,3472,276,320.0,1370.0,1067,790,557,166,23
156,2022-09-05,Greater China,3802,2152,2060,92,836,268,4,587.0,3215.0,3087,2407,1766,785,130
157,2022-09-05,Middle East - GCC,9030,9174,8556,618,4261,2299,270,1011.0,8019.0,7416,5897,4411,1677,419
158,2022-09-05,North America,1786,66342,59934,6408,17356,8633,293,578.0,1208.0,870,572,365,76,13
159,2022-09-05,RO APAC,1794,38368,25601,12767,13343,6388,396,383.0,1411.0,1222,895,598,313,94
160,2022-09-12,EU,2084,203111,44282,158829,8782,3481,408,440.0,1644.0,1395,1007,666,211,36
161,2022-09-12,Greater China,3964,1967,1859,108,926,376,3,644.0,3320.0,3220,2509,1790,674,142
162,2022-09-12,Middle East - GCC,7460,10598,9622,976,4817,2463,282,796.0,6664.0,6253,4881,3613,1452,416
163,2022-09-12,North America,1620,76595,69072,7523,21486,11619,418,561.0,1059.0,756,507,330,85,18
164,2022-09-12,RO APAC,1911,47326,34105,13221,14853,6990,428,363.0,1548.0,1354,1022,691,255,41
165,2022-09-19,EU,1876,201574,42419,159155,9255,3490,318,369.0,1507.0,1164,852,563,154,30
166,2022-09-19,Greater China,3484,1850,1737,113,855,362,4,587.0,2897.0,2803,2193,1528,622,126
167,2022-09-19,Middle East - GCC,5697,12030,10907,1123,4929,2625,272,803.0,4894.0,4520,3632,2636,1172,349
168,2022-09-19,North America,1561,66552,60176,6376,17044,8930,305,426.0,1135.0,785,518,346,71,24
169,2022-09-19,RO APAC,1838,42219,31132,11087,12626,5745,353,437.0,1401.0,1280,995,754,292,47
170,2022-09-26,EU,2940,202638,46106,156532,10510,4038,442,924.0,2016.0,1712,1297,836,196,25
171,2022-09-26,Greater China,6562,1533,1414,119,746,316,9,1390.0,5172.0,5088,3925,2746,1221,293
172,2022-09-26,Middle East - GCC,9808,12018,10826,1192,4990,2622,279,1873.0,7935.0,7512,5978,4516,1884,590
173,2022-09-26,North America,2933,69426,62832,6594,18583,10046,364,1172.0,1761.0,1325,871,534,132,15
174,2022-09-26,RO APAC,3529,45244,33378,11866,13380,6369,369,990.0,2539.0,2249,1673,1233,488,78
175,2022-10-03,EU,2322,200712,46940,153772,9540,3600,289,507.0,1815.0,1463,1062,681,210,43
176,2022-10-03,Greater China,5065,1529,1431,98,604,292,4,857.0,4208.0,4071,3217,2257,892,197
177,2022-10-03,Middle East - GCC,7223,11971,11067,904,4112,2128,226,1065.0,6158.0,5772,4537,3441,1194,284
178,2022-10-03,North America,2130,72361,66076,6285,17994,9455,327,752.0,1378.0,1071,702,441,120,8
179,2022-10-03,RO APAC,2557,41324,29697,11627,10273,5258,288,598.0,1959.0,1692,1358,881,354,50
180,2022-10-10,EU,2381,209185,52090,157095,8689,3744,244,522.0,1859.0,1481,1113,695,189,9
181,2022-10-10,Greater China,4738,1576,1477,99,526,292,5,912.0,3826.0,3802,3006,2067,910,167
182,2022-10-10,Middle East - GCC,6551,10941,10284,657,2989,2019,240,859.0,5692.0,5367,4054,3018,1159,277
183,2022-10-10,North America,2020,77915,71075,6840,19459,10411,348,662.0,1358.0,1148,763,488,66,17
184,2022-10-10,RO APAC,2388,39631,28776,10855,8484,5045,266,477.0,1911.0,1679,1261,853,302,21
185,2022-10-17,EU,2352,203624,51735,151889,7512,3933,463,448.0,1904.0,1537,1183,695,168,20
186,2022-10-17,Greater China,4888,1755,1679,76,581,360,9,864.0,4024.0,3868,3087,2084,784,128
187,2022-10-17,Middle East - GCC,6966,13006,11851,1155,3134,2244,238,983.0,5983.0,5578,4332,3127,1279,299
188,2022-10-17,North America,1949,61311,56116,5195,16545,9066,286,660.0,1289.0,1003,604,355,85,22
189,2022-10-17,RO APAC,2249,35281,25674,9607,7441,4856,240,469.0,1780.0,1588,1217,844,307,53
190,2022-10-24,EU,2425,200989,50685,150304,7954,3735,361,555.0,1870.0,1543,1219,779,169,11
191,2022-10-24,Greater China,5003,1697,1652,45,476,336,0,830.0,4173.0,3922,3191,2115,860,146
192,2022-10-24,Middle East - GCC,7307,11144,10262,882,2546,1777,159,1117.0,6190.0,5757,4583,3255,1271,319
193,2022-10-24,North America,1912,55282,50107,5175,13874,7224,275,591.0,1321.0,1111,770,488,108,15
194,2022-10-24,RO APAC,2027,32278,23399,8879,6305,4004,178,435.0,1592.0,1329,1030,724,241,30
195,2022-10-31,EU,3948,204753,62687,142066,12062,4573,249,1602.0,2346.0,1915,1403,939,259,17
196,2022-10-31,Greater China,6007,1184,1139,45,368,247,4,1270.0,4737.0,4610,3607,2393,1031,187
197,2022-10-31,Middle East - GCC,8166,7889,7245,644,2503,1589,161,1697.0,6469.0,6046,4599,3277,1245,262
198,2022-10-31,North America,2482,43526,40051,3475,11690,6315,220,1056.0,1426.0,1193,749,472,100,5
199,2022-10-31,RO APAC,2854,25249,18041,7208,5917,3624,160,768.0,2086.0,1795,1387,954,348,56
200,2022-11-07,EU,2706,199288,64227,135061,6851,4032,197,724.0,1982.0,1534,1185,760,219,37
201,2022-11-07,Greater China,4457,2124,2033,91,514,373,1,833.0,3624.0,3560,2824,1950,800,131
202,2022-11-07,Middle East - GCC,6111,11371,10611,760,3157,2420,266,1016.0,5095.0,4906,3984,2670,953,222
203,2022-11-07,North America,1823,50892,47513,3379,14976,8310,285,558.0,1265.0,999,664,437,83,4
204,2022-11-07,RO APAC,1900,30757,24837,5920,6608,4178,161,363.0,1537.0,1346,1108,783,293,43
205,2022-11-14,EU,2544,185665,57923,127742,5722,3844,154,574.0,1970.0,1618,1138,787,195,16
206,2022-11-14,Greater China,4456,1785,1726,59,471,317,4,722.0,3734.0,3602,2778,2005,805,132
207,2022-11-14,Middle East - GCC,5734,9809,9093,716,2405,1973,193,876.0,4858.0,4613,3584,2345,901,192
208,2022-11-14,North America,1860,53181,49276,3905,15001,8615,282,605.0,1255.0,1058,715,459,129,30
209,2022-11-14,RO APAC,1935,29199,23725,5474,5847,4159,180,402.0,1533.0,1411,1104,765,327,37
210,2022-11-21,EU,2607,185697,58715,126982,6105,4108,148,633.0,1974.0,1666,1187,807,159,17
211,2022-11-21,Greater China,4434,1774,1726,48,440,288,3,704.0,3730.0,3679,2947,1945,791,168
212,2022-11-21,Middle East - GCC,6344,13636,12578,1058,3321,2528,231,940.0,5404.0,5003,3993,2666,850,195
213,2022-11-21,North America,1881,63162,58190,4972,14901,7510,301,651.0,1230.0,1037,662,405,124,10
214,2022-11-21,RO APAC,1962,27992,22125,5867,5104,3484,200,415.0,1547.0,1397,1118,709,263,37
215,2022-11-28,EU,4475,189047,62427,126620,6600,4415,87,1835.0,2640.0,2189,1596,1064,248,16
216,2022-11-28,Greater China,6971,1470,1391,79,440,292,8,1649.0,5322.0,5176,4098,2587,1062,231
217,2022-11-28,Middle East - GCC,10260,22682,21045,1637,4824,3472,430,2226.0,8034.0,7301,5576,3907,1333,293
218,2022-11-28,North America,2964,49453,45211,4242,12721,7125,286,1284.0,1680.0,1327,878,458,93,2
219,2022-11-28,RO APAC,2700,28399,22284,6115,5861,3940,168,829.0,1871.0,1695,1255,953,374,99
220,2022-12-05,EU,3437,199016,66682,132334,7356,4825,57,954.0,2483.0,1968,1456,1007,246,6
221,2022-12-05,Greater China,4077,1646,1562,84,437,297,1,683.0,3394.0,3328,2667,1803,746,153
222,2022-12-05,Middle East - GCC,10275,16041,14639,1402,3651,2960,315,2028.0,8247.0,7588,5908,4061,1465,344
223,2022-12-05,North America,2148,50988,47377,3611,15880,9171,346,736.0,1412.0,1095,773,456,160,5
224,2022-12-05,RO APAC,1873,31038,24467,6571,6502,4084,218,455.0,1418.0,1295,1004,755,255,53
225,2022-12-12,EU,3855,189234,58174,131060,5855,3821,15,1223.0,2632.0,2185,1643,1085,331,29
226,2022-12-12,Greater China,5185,2100,1944,156,660,411,20,841.0,4344.0,4329,3516,2423,913,177
227,2022-12-12,Middle East - GCC,9400,15309,13523,1786,3430,2801,261,1275.0,8125.0,7393,5838,4035,1388,451
228,2022-12-12,North America,2643,48223,44571,3652,13139,7236,279,838.0,1805.0,1476,977,660,174,11
229,2022-12-12,RO APAC,2364,36613,29243,7370,7994,4518,244,487.0,1877.0,1685,1377,1003,366,99
230,2022-12-19,EU,3498,196652,50960,145692,4382,2973,23,1030.0,2468.0,2066,1503,1039,242,22
231,2022-12-19,Greater China,5095,4152,3803,349,1244,618,26,838.0,4257.0,4107,3282,2232,1040,204
232,2022-12-19,Middle East - GCC,9172,22192,19564,2628,4605,3493,382,1374.0,7798.0,7111,5711,4000,1505,391
233,2022-12-19,North America,2597,69127,63721,5406,17090,8699,271,813.0,1784.0,1514,1114,661,190,30
234,2022-12-19,RO APAC,2678,48737,39312,9425,11078,5486,285,635.0,2043.0,1838,1436,978,373,108
235,2022-12-26,EU,3198,200102,55693,144409,4533,2772,29,845.0,2353.0,1842,1176,758,193,39
236,2022-12-26,Greater China,7994,3118,2728,390,777,401,18,1894.0,6100.0,5912,4489,2680,834,137
237,2022-12-26,Middle East - GCC,11477,17984,16181,1803,3667,2832,284,1659.0,9818.0,8822,7071,4897,1803,407
238,2022-12-26,North America,2892,67946,62676,5270,17003,9105,282,818.0,2074.0,1558,1042,605,185,31
239,2022-12-26,RO APAC,3595,39802,32418,7384,8936,4822,240,851.0,2744.0,2414,1769,1153,436,126
240,2023-01-02,EU,3975,169541,43070,126471,3999,2212,56,1775.0,2200.0,1708,1186,723,193,32
241,2023-01-02,Greater China,7430,1089,1022,67,308,146,11,2055.0,5375.0,5142,3792,2382,945,171
242,2023-01-02,Middle East - GCC,16292,10350,9268,1082,2393,1890,135,3125.0,13167.0,11766,9236,6263,2312,515
243,2023-01-02,North America,3462,45066,41100,3966,11033,5332,164,1561.0,1901.0,1482,955,492,153,1
244,2023-01-02,RO APAC,4380,21500,16287,5213,5208,2998,164,1636.0,2744.0,2375,1796,1059,320,51
245,2023-01-09,EU,2423,164618,37181,127437,3577,2298,13,641.0,1782.0,1433,1002,623,200,38
246,2023-01-09,Greater China,4623,2321,2273,48,734,298,9,980.0,3643.0,3704,3158,2024,804,140
247,2023-01-09,Middle East - GCC,9990,8518,6945,1573,2266,1903,178,1377.0,8613.0,7952,6323,4179,1390,369
248,2023-01-09,North America,2014,27221,23952,3269,8746,4949,146,712.0,1302.0,1142,811,503,180,13
249,2023-01-09,RO APAC,2662,18188,13267,4921,4737,3032,109,740.0,1922.0,1828,1390,892,346,42
250,2023-01-16,EU,3103,180082,48552,131530,4163,2780,10,923.0,2180.0,1735,1296,770,245,32
